# Fixed waits of 200 ms and up in test code — ADR 0064 step 5's inventory.
#
# Regenerate:  python3 scripts/list-fixed-waits.py > docs/adr/0064-fixed-waits.txt
#
# The script resolves `Duration::from_millis/from_secs` in any type prefix
# (`Duration::`, `StdDuration::`, `std::time::Duration::`) and named `const`s
# defined in the same file — the three forms a grep on call syntax kept missing.
# Test code is every file under crates/*/tests/, every `<module>/tests.rs`, plus
# the '#[cfg(test)] mod tests' tail of a source file.
#
# Step 5 is done when the list below is empty: each wait becomes a bounded poll,
# or paused time (tokio::time::pause) where the code under test is clock-driven.
# A bounded cap on a poll is not a fixed wait and never appears here.

11 waits, 11.8 s in total
  5000 ms  crates/tack-runner/src/secrets/tests.rs:161
  2500 ms  crates/tack-orch/src/reconciler/tests.rs:1919
  1300 ms  crates/tack-orch/src/execution_observability/tests.rs:168
  1300 ms  crates/tack-orch/src/execution_retention/tests.rs:153
   300 ms  crates/tack-orch/src/reconciler/tests.rs:1071
   300 ms  crates/tack-orch/src/reconciler/tests.rs:1203
   300 ms  crates/tack-orch/src/reconciler/tests.rs:1786
   200 ms  crates/tack-api/src/orch_runtime/tests.rs:347
   200 ms  crates/tack-orch/src/reconciler/tests.rs:1862
   200 ms  crates/tack-orch/tests/docket_live_test.rs:145
   200 ms  crates/tack-orch/tests/docket_tick_contract_test.rs:410
